period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TU,MS,WRLD,TOT,4382.0,18186.0
2016-02-01,TU,MS,WRLD,TOT,5056.0,17576.0
2016-03-01,TU,MS,WRLD,TOT,8190.0,23738.0
2016-04-01,TU,MS,WRLD,TOT,14929.0,44633.0
2016-05-01,TU,MS,WRLD,TOT,21909.0,73487.0
2016-06-01,TU,MS,WRLD,TOT,36359.0,136263.0
2016-07-01,TU,MS,WRLD,TOT,52514.0,243745.0
2016-08-01,TU,MS,WRLD,TOT,47617.0,306927.0
2016-09-01,TU,MS,WRLD,TOT,25937.0,96204.0
2016-10-01,TU,MS,WRLD,TOT,9835.0,32706.0
2016-11-01,TU,MS,WRLD,TOT,4642.0,19825.0
2016-12-01,TU,MS,WRLD,TOT,5040.0,19490.0
2017-01-01,TU,MS,WRLD,TOT,4123.0,13491.0
2017-02-01,TU,MS,WRLD,TOT,5949.0,17432.0
2017-03-01,TU,MS,WRLD,TOT,7432.0,20629.0
2017-04-01,TU,MS,WRLD,TOT,26113.0,67007.0
2017-05-01,TU,MS,WRLD,TOT,21330.0,65553.0
2017-06-01,TU,MS,WRLD,TOT,45366.0,155611.0
2017-07-01,TU,MS,WRLD,TOT,51380.0,252661.0
2017-08-01,TU,MS,WRLD,TOT,51025.0,339161.0
2017-09-01,TU,MS,WRLD,TOT,25585.0,96442.0
2017-10-01,TU,MS,WRLD,TOT,11350.0,34534.0
2017-11-01,TU,MS,WRLD,TOT,5921.0,19382.0
2017-12-01,TU,MS,WRLD,TOT,5637.0,18758.0
2018-01-01,TU,MS,WRLD,TOT,4826.0,16283.0
2018-02-01,TU,MS,WRLD,TOT,6132.0,18438.0
2018-03-01,TU,MS,WRLD,TOT,8746.0,22667.0
2018-04-01,TU,MS,WRLD,TOT,23423.0,62518.0
2018-05-01,TU,MS,WRLD,TOT,25572.0,73622.0
2018-06-01,TU,MS,WRLD,TOT,48398.0,150421.0
2018-07-01,TU,MS,WRLD,TOT,49615.0,245236.0
2018-08-01,TU,MS,WRLD,TOT,49555.0,317371.0
2018-09-01,TU,MS,WRLD,TOT,27969.0,99532.0
2018-10-01,TU,MS,WRLD,TOT,11425.0,32642.0
2018-11-01,TU,MS,WRLD,TOT,6749.0,20171.0
2018-12-01,TU,MS,WRLD,TOT,6726.0,18957.0
2019-01-01,TU,MS,WRLD,TOT,5484.0,19238.0
2019-02-01,TU,MS,WRLD,TOT,7247.0,22527.0
2019-03-01,TU,MS,WRLD,TOT,9506.0,27266.0
2019-04-01,TU,MS,WRLD,TOT,22672.0,64780.0
2019-05-01,TU,MS,WRLD,TOT,20976.0,60187.0
2019-06-01,TU,MS,WRLD,TOT,46452.0,147995.0
2019-07-01,TU,MS,WRLD,TOT,47143.0,230849.0
2019-08-01,TU,MS,WRLD,TOT,54019.0,324374.0
2019-09-01,TU,MS,WRLD,TOT,25307.0,96663.0
2019-10-01,TU,MS,WRLD,TOT,12430.0,33694.0
2019-11-01,TU,MS,WRLD,TOT,7005.0,20983.0
2019-12-01,TU,MS,WRLD,TOT,6652.0,18871.0
2020-01-01,TU,MS,WRLD,TOT,5586.0,18212.0
2020-02-01,TU,MS,WRLD,TOT,6951.0,20074.0
2020-03-01,TU,MS,WRLD,TOT,1220.0,9100.0
2020-04-01,TU,MS,WRLD,TOT,334.0,6556.0
2020-05-01,TU,MS,WRLD,TOT,1529.0,10915.0
2020-06-01,TU,MS,WRLD,TOT,23179.0,68761.0
2020-07-01,TU,MS,WRLD,TOT,45822.0,194402.0
2020-08-01,TU,MS,WRLD,TOT,52504.0,304918.0
2020-09-01,TU,MS,WRLD,TOT,24706.0,91257.0
2020-10-01,TU,MS,WRLD,TOT,6726.0,23715.0
2020-11-01,TU,MS,WRLD,TOT,2070.0,14984.0
2020-12-01,TU,MS,WRLD,TOT,1902.0,13872.0
2021-01-01,TU,MS,WRLD,TOT,2571.0,13655.0
2021-02-01,TU,MS,WRLD,TOT,3068.0,16161.0
2021-03-01,TU,MS,WRLD,TOT,3286.0,18574.0
2021-04-01,TU,MS,WRLD,TOT,3958.0,18495.0
2021-05-01,TU,MS,WRLD,TOT,17319.0,49604.0
2021-06-01,TU,MS,WRLD,TOT,34107.0,114947.0
2021-07-01,TU,MS,WRLD,TOT,53884.0,230293.0
2021-08-01,TU,MS,WRLD,TOT,59077.0,337759.0
2021-09-01,TU,MS,WRLD,TOT,26416.0,112738.0
2021-10-01,TU,MS,WRLD,TOT,11415.0,37517.0
2021-11-01,TU,MS,WRLD,TOT,7090.0,24504.0
2021-12-01,TU,MS,WRLD,TOT,5608.0,19126.0
